callsign,nactId,runway,links,positions,depAirport,arrAirport,initialGateTimeOfDeparture,scheduledTimeOfDeparture,actualTimeOfDeparture,scheduledTimeOfArrival,actualTimeOfArrival,aircraftType,depAirport,depTerminal,depGate,arrAirport,arrTerminal,arrGate
FDY312,,,,,KBWI,KAOO,01/20/2017 14:50:00,,01/20/2017 14:33:00,,01/20/2017 15:25:23,C208,BWI,null,D37,AOO,null,null
FDY316,,,,,KBWI,KAOO,01/20/2017 21:15:00,,,,,C208,BWI,null,D37,AOO,null,null
WOW118,,,,,KBWI,BIKF,01/20/2017 23:00:00,,01/20/2017 23:15:00,,01/21/2017 04:47:00,A321,,,,,,
SWA180,BWI-FLT-SWA180-28-Departure-10087,28,39.17572;-76.667803;1.484964241001E12;10404|39.175277;-76.66756;1.484964243498E12;10369|39.175235;-76.666656;1.484964250004E12;10370|39.175173;-76.66605;1.484964258497E12;10371|39.175979;-76.664901;1.484964264001E12;10264|39.175483;-76.664081;1.484964276002E12;10336|39.174587;-76.662205;1.484964283E12;10253|39.174516;-76.661012;1.484964299667E12;10508|39.174505;-76.660522;1.484964307002E12;10510|39.174451;-76.660047;1.484964310337E12;10258|39.174424;-76.659547;1.484964312998E12;10259|39.174391;-76.65904;1.484964315996E12;10260|39.174351;-76.658411;1.484964319332E12;10261|39.17429;-76.657727;1.484964323004E12;10262|39.174274;-76.657223;1.484964327496E12;10263|39.174251;-76.655633;1.484964331004E12;10244|39.173293;-76.655281;1.484964345502E12;10231|39.172805;-76.655391;1.484964360501E12;10020|39.173077;-76.660328;1.484964370498E12;10019|39.173402;-76.666025;1.484964531772E12;10018|39.173714;-76.671186;1.484964541155E12;10031|,39.175831;-76.667915;1.484964241001E12|39.175817;-76.667767;1.484964242004E12|39.175714;-76.667755;1.484964242997E12|39.175672;-76.667801;1.484964243999E12|39.175598;-76.667791;1.484964245002E12|39.175564;-76.667802;1.484964246004E12|39.17548;-76.667736;1.484964246997E12|39.17539;-76.667715;1.484964248E12|39.175334;-76.66759;1.484964249002E12|39.17528;-76.667511;1.484964250004E12|39.175223;-76.66743;1.484964250998E12|39.175245;-76.667282;1.484964252E12|39.175238;-76.667196;1.484964253002E12|39.17522;-76.667117;1.484964253996E12|39.175194;-76.666974;1.484964254998E12|39.175212;-76.666899;1.484964256E12|39.175216;-76.666782;1.484964257003E12|39.17523;-76.666667;1.484964257996E12|39.175217;-76.666585;1.484964258998E12|39.175194;-76.666477;1.484964260001E12|39.175165;-76.666338;1.484964261003E12|39.175159;-76.666217;1.484964261996E12|39.17518;-76.666071;1.484964262999E12|39.175191;-76.665974;1.484964264001E12|39.175218;-76.665836;1.484964265003E12|39.175256;-76.665699;1.484964265997E12|39.175323;-76.665626;1.484964266999E12|39.175385;-76.665551;1.484964268001E12|39.175436;-76.665498;1.484964269004E12|39.175497;-76.665401;1.484964269997E12|39.175572;-76.665332;1.484964270999E12|39.175621;-76.665215;1.484964272002E12|39.175686;-76.665166;1.484964273004E12|39.175712;-76.665074;1.484964273997E12|39.175701;-76.66485;1.484964276002E12|39.175684;-76.664765;1.484964277004E12|39.175673;-76.664638;1.484964277998E12|39.175596;-76.664503;1.484964279E12|39.175568;-76.66437;1.484964280002E12|39.175514;-76.664289;1.484964280996E12|39.175454;-76.664174;1.484964281998E12|39.175403;-76.664118;1.484964283E12|39.175378;-76.664006;1.484964284003E12|39.175336;-76.663931;1.484964284996E12|39.175293;-76.66382;1.484964285998E12|39.175266;-76.663757;1.484964287001E12|39.175216;-76.66364;1.484964288003E12|39.175137;-76.663524;1.484964288996E12|39.175075;-76.663416;1.484964289999E12|39.175026;-76.663301;1.484964291001E12|39.174991;-76.663183;1.484964292003E12|39.174922;-76.663052;1.484964292997E12|39.174856;-76.662923;1.484964293999E12|39.174765;-76.6628;1.484964295001E12|39.174715;-76.662683;1.484964296004E12|39.174655;-76.662565;1.484964296997E12|39.174589;-76.662411;1.484964297999E12|39.174564;-76.662238;1.484964299002E12|39.174551;-76.662089;1.484964300004E12|39.174565;-76.661944;1.484964300997E12|39.174558;-76.661779;1.484964302E12|39.174572;-76.661619;1.484964303002E12|39.174558;-76.661489;1.484964304004E12|39.174544;-76.661346;1.484964304998E12|39.174489;-76.661197;1.484964306E12|39.174465;-76.660983;1.484964307002E12|39.174455;-76.660847;1.484964307996E12|39.174454;-76.660711;1.484964308998E12|39.17447;-76.660547;1.48496431E12|39.174465;-76.660391;1.484964311003E12|39.174456;-76.660186;1.484964311996E12|39.174438;-76.659985;1.484964312998E12|39.174435;-76.659823;1.484964314001E12|39.174409;-76.659655;1.484964315003E12|39.174379;-76.65949;1.484964315996E12|39.174375;-76.659317;1.484964316999E12|39.174386;-76.659155;1.484964318001E12|39.174375;-76.659021;1.484964319003E12|39.174383;-76.658882;1.484964319997E12|39.174366;-76.658715;1.484964320999E12|39.174367;-76.658545;1.484964322001E12|39.174327;-76.658357;1.484964323004E12|39.174315;-76.658193;1.484964323997E12|39.17431;-76.658047;1.484964324999E12|39.174317;-76.657868;1.484964326002E12|39.174316;-76.657722;1.484964327004E12|39.174315;-76.657537;1.484964327997E12|39.174292;-76.657419;1.484964329E12|39.174274;-76.657272;1.484964330002E12|39.174269;-76.657144;1.484964331004E12|39.174261;-76.65702;1.484964331998E12|39.174272;-76.656876;1.484964333E12|39.174256;-76.65675;1.484964334002E12|39.174253;-76.65663;1.484964334996E12|39.17425;-76.656503;1.484964335998E12|39.174248;-76.656397;1.484964337E12|39.174232;-76.656334;1.484964338003E12|39.174201;-76.656204;1.484964338996E12|39.174201;-76.656104;1.484964339998E12|39.174216;-76.656057;1.484964341001E12|39.174213;-76.655989;1.484964342003E12|39.174191;-76.655878;1.484964342996E12|39.174178;-76.655834;1.484964343999E12|39.174173;-76.655755;1.484964345001E12|39.174175;-76.655653;1.484964346003E12|39.174127;-76.655547;1.484964346997E12|39.174071;-76.655492;1.484964347999E12|39.174047;-76.655412;1.484964349001E12|39.173995;-76.65535;1.484964350004E12|39.173967;-76.655307;1.484964350997E12|39.173857;-76.655243;1.484964351999E12|39.173776;-76.65522;1.484964353002E12|39.173689;-76.655245;1.484964354004E12|39.173603;-76.655249;1.484964354997E12|39.17356;-76.655253;1.484964356E12|39.173466;-76.655259;1.484964357002E12|39.1734;-76.655256;1.484964358004E12|39.173331;-76.655227;1.484964358998E12|39.173274;-76.655238;1.48496436E12|39.17321;-76.655241;1.484964361002E12|39.173132;-76.655246;1.484964361996E12|39.17305;-76.655246;1.484964362998E12|39.173023;-76.655281;1.484964364E12|39.172982;-76.655304;1.484964365003E12|39.172907;-76.655294;1.484964365996E12|39.172861;-76.655341;1.484964366998E12|39.172826;-76.655342;1.484964368001E12|39.172798;-76.655361;1.484964369003E12|39.172806;-76.655437;1.484964369996E12|39.172793;-76.655505;1.484964370999E12|39.172832;-76.655556;1.484964372001E12|39.172836;-76.655607;1.484964373003E12|39.172823;-76.655678;1.484964373997E12|39.172857;-76.655742;1.484964374999E12|39.172831;-76.655771;1.484964376001E12|39.172834;-76.655822;1.484964377004E12|39.172833;-76.655793;1.484964377997E12|39.172845;-76.655717;1.484964378999E12|39.172855;-76.655712;1.484964380002E12|39.172822;-76.655675;1.484964381004E12|39.17286;-76.655679;1.484964381997E12|39.172808;-76.655664;1.484964383E12|39.172831;-76.655709;1.484964384002E12|39.172829;-76.655716;1.484964385004E12|39.172837;-76.655694;1.484964385998E12|39.172829;-76.655705;1.484964387E12|39.172869;-76.655777;1.484964388002E12|39.172857;-76.655769;1.484964388996E12|39.172859;-76.655781;1.484964389998E12|39.172864;-76.655734;1.484964391E12|39.172841;-76.655724;1.484964392003E12|39.172816;-76.655705;1.484964392996E12|39.172795;-76.655686;1.484964393998E12|39.172798;-76.655671;1.484964395001E12|39.172798;-76.655687;1.484964396003E12|39.172811;-76.655735;1.484964396996E12|39.172832;-76.655742;1.484964397999E12|39.172821;-76.65573;1.484964399001E12|39.172819;-76.655709;1.484964400003E12|39.172841;-76.65571;1.484964400997E12|39.172828;-76.6557;1.484964401999E12|39.172837;-76.65575;1.484964403001E12|39.172833;-76.655745;1.484964404004E12|39.172841;-76.655711;1.484964404997E12|39.172834;-76.655711;1.484964405999E12|39.172841;-76.655707;1.484964407002E12|39.172856;-76.655749;1.484964408004E12|39.172842;-76.655719;1.484964408997E12|39.172849;-76.655727;1.48496441E12|39.172856;-76.655756;1.484964411002E12|39.172839;-76.655722;1.484964412004E12|39.17285;-76.655721;1.484964412998E12|39.172841;-76.655727;1.484964414E12|39.172816;-76.65571;1.484964415002E12|39.172836;-76.655723;1.484964415996E12|39.172846;-76.655735;1.484964416998E12|39.17284;-76.655729;1.484964418E12|39.172839;-76.655725;1.484964419003E12|39.17284;-76.655729;1.484964419996E12|39.172821;-76.655721;1.484964420998E12|39.17283;-76.655715;1.484964422001E12|39.17283;-76.655717;1.484964423003E12|39.172854;-76.65571;1.484964423996E12|39.172861;-76.655699;1.484964424999E12|39.172845;-76.655714;1.484964426001E12|39.172842;-76.655705;1.484964427003E12|39.172841;-76.655714;1.484964427997E12|39.172821;-76.655702;1.484964428999E12|39.172843;-76.655745;1.484964430001E12|39.172811;-76.65572;1.484964431004E12|39.172845;-76.655721;1.484964431997E12|39.172828;-76.655716;1.484964432999E12|39.172855;-76.655726;1.484964434002E12|39.172852;-76.655722;1.484964435004E12|39.17285;-76.655721;1.484964435997E12|39.172848;-76.65572;1.484964437E12|39.172856;-76.65573;1.484964438002E12|39.172843;-76.655725;1.484964439004E12|39.172844;-76.655723;1.484964439998E12|39.172829;-76.655713;1.484964441E12|39.172825;-76.655713;1.484964442002E12|39.172811;-76.655719;1.484964442996E12|39.172829;-76.655727;1.484964443998E12|39.172836;-76.655737;1.484964445E12|39.172851;-76.655713;1.484964446003E12|39.172855;-76.65571;1.484964446996E12|39.172859;-76.655716;1.484964447998E12|39.172847;-76.655723;1.484964449001E12|39.172829;-76.655716;1.484964450003E12|39.172821;-76.6557;1.484964450996E12|39.172818;-76.655688;1.484964451999E12|39.172812;-76.655695;1.484964453001E12|39.172807;-76.655693;1.484964454003E12|39.172849;-76.655757;1.484964454997E12|39.172831;-76.655729;1.484964455999E12|39.172824;-76.655708;1.484964457001E12|39.172817;-76.655718;1.484964458004E12|39.172832;-76.655719;1.484964458997E12|39.17283;-76.655715;1.484964459999E12|39.172849;-76.65572;1.484964461002E12|39.172844;-76.655701;1.484964462004E12|39.17285;-76.655707;1.484964462997E12|39.172845;-76.655711;1.484964464E12|39.17285;-76.655726;1.484964465002E12|39.172837;-76.655713;1.484964466004E12|39.172864;-76.655758;1.484964466998E12|39.17281;-76.655728;1.484964468E12|39.172826;-76.655707;1.484964469002E12|39.172843;-76.655714;1.484964469996E12|39.172838;-76.65573;1.484964470998E12|39.172827;-76.655717;1.484964472E12|39.172857;-76.655755;1.484964473003E12|39.172833;-76.655721;1.484964473996E12|39.172813;-76.655704;1.484964474998E12|39.172808;-76.655738;1.484964476001E12|39.17283;-76.655739;1.484964477003E12|39.172814;-76.655718;1.484964477996E12|39.172833;-76.655716;1.484964478999E12|39.172813;-76.655723;1.484964480001E12|39.172843;-76.655697;1.484964481003E12|39.172838;-76.655729;1.484964481997E12|39.172827;-76.655713;1.484964482999E12|39.172826;-76.655706;1.484964484001E12|39.172841;-76.655725;1.484964485004E12|39.172835;-76.65572;1.484964485997E12|39.172839;-76.655722;1.484964486999E12|39.172843;-76.655717;1.484964488002E12|39.172844;-76.655715;1.484964489004E12|39.17285;-76.655707;1.484964489997E12|39.172836;-76.655706;1.484964491E12|39.172878;-76.655739;1.484964492002E12|39.172875;-76.655754;1.484964493004E12|39.172886;-76.655797;1.484964493998E12|39.172836;-76.655776;1.484964495E12|39.172826;-76.655763;1.484964496002E12|39.172808;-76.655706;1.484964496996E12|39.172814;-76.655701;1.484964497998E12|39.172817;-76.655694;1.484964499E12|39.172822;-76.655728;1.484964500003E12|39.172811;-76.655714;1.484964500996E12|39.172826;-76.655729;1.484964501998E12|39.17283;-76.655737;1.484964503001E12|39.172843;-76.655765;1.484964504003E12|39.172834;-76.655745;1.484964504996E12|39.172837;-76.655741;1.484964505999E12|39.172831;-76.655738;1.484964507001E12|39.172833;-76.65573;1.484964508003E12|39.172829;-76.655723;1.484964508997E12|39.172833;-76.655721;1.484964509999E12|39.172823;-76.655688;1.484964511001E12|39.172835;-76.655721;1.484964512004E12|39.172841;-76.65572;1.484964512997E12|39.172841;-76.655716;1.484964515002E12|39.17284;-76.655743;1.484964516004E12|39.17281;-76.655803;1.484964516997E12|39.172862;-76.655904;1.484964518E12|39.172867;-76.656008;1.484964519002E12|39.172871;-76.656124;1.484964520004E12|39.172888;-76.656233;1.484964520998E12|39.172876;-76.656508;1.484964522E12|39.172899;-76.656744;1.484964523002E12|39.17291;-76.656973;1.484964523996E12|39.172912;-76.657342;1.484964524998E12|39.17294;-76.657656;1.484964526E12|39.172962;-76.658019;1.484964527003E12|39.17299;-76.65841;1.484964527996E12|39.17301;-76.658801;1.484964528998E12|39.173038;-76.659255;1.484964530001E12|39.173054;-76.659678;1.484964531003E12|39.173076;-76.660156;1.484964531996E12|39.173081;-76.660685;1.484964532999E12|39.173126;-76.661246;1.484964534001E12|39.173165;-76.661807;1.484964535003E12|39.173203;-76.662384;1.484964535997E12|39.173224;-76.662984;1.484964536999E12|39.173299;-76.663663;1.484964538001E12|39.173332;-76.664312;1.484964539004E12|39.173354;-76.664982;1.484964539997E12|39.173398;-76.665679;1.484964540999E12|39.17343;-76.666403;1.484964542002E12|39.173478;-76.667115;1.484964543004E12|39.173521;-76.667881;1.484964543997E12|39.173552;-76.668721;1.484964545E12|39.173589;-76.669583;1.484964546002E12|39.173652;-76.670402;1.484964547004E12|39.173708;-76.671257;1.484964547998E12|39.173778;-76.672102;1.484964549E12|39.173826;-76.673033;1.484964550002E12|,KBWI,KBUF,01/21/2017 01:05:00,01/21/2017 01:55:00,01/21/2017 02:09:00,01/21/2017 02:40:00,01/21/2017 02:56:39,B737,BWI,null,B11,BUF,null,21
CFPYP,,,,,KBWI,CYPQ,01/20/2017 23:30:00,,01/20/2017 23:23:00,,01/21/2017 00:38:00,C510,BWI,null,null,YPQ,null,null
PRO101,,,,,KBWI,CYUL,01/20/2017 15:40:00,,,,,BE10,BWI,null,null,YUL,null,null
GGN7351,,,,,KBWI,CYYZ,01/20/2017 11:00:00,01/20/2017 11:38:00,01/20/2017 11:12:00,01/20/2017 12:40:18,01/20/2017 12:17:00,CRJ2,BWI,null,D7,YYZ,T1,F90
GGN7353,,,,,KBWI,CYYZ,01/20/2017 15:05:00,01/20/2017 16:03:00,01/20/2017 16:10:00,01/20/2017 17:05:02,01/20/2017 17:08:45,CRJ2,BWI,null,D7,YYZ,T1,F91
