summary,optROT,optTT,actualROT,actualTT,optPcost,optFuelCost,optCrewCost,optMaintCost,optAOCost,optEnvCost,optOtherCost,actualPcost,actualFuelCost,actualCrewCost,actualMaintCost,actualAOCost,actualEnvCost,actualOtherCost,savings,totalOptCost,totalActualCost
count,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
mean,7.027746766337237,63.19611766551045,10.378335539340126,69.42326871764234,207.54471924795396,12.616889983717456,19.03066726103073,14.068178500384672,9.269550105003896,42.134318659108615,3.1717802176339345,236.81419553743612,14.337690891557987,21.626234753642255,14.739413006223293,10.533811761921681,47.88096255418949,3.60437511899385,11.239473184379902,307.83610397483324,349.5366836239646
stddev,4.743110228972852,34.33219652152006,5.655427411130907,33.19984854706113,121.70357989070042,6.421529918819877,9.685905112078013,7.160182046455564,4.717857840569364,21.44480836622438,1.614318710057911,119.28202314292321,6.079376474395787,9.169818472545321,6.979137615849082,4.466479846405838,20.30218112002654,1.5283042066565042,24.62094391041515,168.8863728978867,162.8255925581339
min,1.5811035355005032,11.228958576389307,3.6540225684686196,11.228958576389307,10.450483021817789,2.4143126105984685,3.641624839061356,2.692024802107492,1.7737803644136494,8.062638020062042,0.6069379211012271,10.894284732855002,3.3194472243168787,5.006883288833569,3.701274730505099,2.4387771000960554,11.08535045498207,0.834481163991731,-73.6181691774145,61.688513356982845,81.13742096663337
max,29.37772028695312,195.24468932223667,35.03398608283203,195.24468932223667,624.4520589206955,35.475811701793404,53.50988787118599,39.55650339433455,26.0638568228655,118.47207646757045,8.91832122697969,640.384412432096,36.380946315511814,54.87514632095821,40.887169989133156,26.728853558547907,121.49478890249048,9.145864469870194,115.88017962271704,906.4485164054253,929.5757653222066
