summary,optROT,optTT,actualROT,actualTT,optPcost,optFuelCost,optCrewCost,optMaintCost,optAOCost,optEnvCost,optOtherCost,actualPcost,actualFuelCost,actualCrewCost,actualMaintCost,actualAOCost,actualEnvCost,actualOtherCost,savings,totalOptCost,totalActualCost
count,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760,16760
mean,16.07428882361768,76.04259846811135,16.829331964617054,114.14783744808537,248.6898467390273,16.550337153976898,24.96367645605858,18.454080016880148,12.159429122508234,55.2701323750374,4.160615813239339,353.18983090332097,23.532235803721157,35.49481291084234,18.605340300958883,17.28898636247672,78.58630164762141,5.915806517712703,0.7984473640032708,380.2481176767278,532.6133144466542
stddev,15.000191052544025,31.989121381207095,8.294645742972715,52.38887130424735,142.5836885503239,6.381894880452229,9.626121660845076,7.115987891212451,4.688738225946678,21.312446481575815,1.6043547941656504,203.4320080579795,9.287264446148797,14.008431528526565,6.485330040451803,6.823295061865338,31.014977553933363,2.334740311142071,50.141425959539454,181.68227366042404,254.8213826361943
min,0.4783720037861337,16.678504366301148,3.6640542141331713,16.678504366301148,8.564331876940198,3.6223729916826537,5.4638009199590085,4.039045272466509,2.661334765441288,12.09697620655131,0.9106341587140683,17.459376477345984,4.431026267860216,6.683531887601423,4.940715862355801,3.255447266285564,14.79748757402529,1.1139228033495467,-362.22987679058866,43.053557492840206,95.20654009013018
max,63.11863319947858,249.66065133262902,70.47200953359447,302.8924624775788,1003.8328833598592,45.161342552267485,68.11904393894076,50.35613603370111,33.17975571933646,150.81707145152936,11.353182368549652,1200.6246384814003,56.39718658083717,85.06661258545337,54.05277544298106,41.43466000472267,188.33936365783032,14.177779227540206,240.40541183732165,1298.778538939345,1529.4031188681568
