summary,optROT,optTT,actualROT,actualTT,optPcost,optFuelCost,optCrewCost,optMaintCost,optAOCost,optEnvCost,optOtherCost,actualPcost,actualFuelCost,actualCrewCost,actualMaintCost,actualAOCost,actualEnvCost,actualOtherCost,savings,totalOptCost,totalActualCost
count,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468
mean,1.3540058158735455,64.61369327024892,2.5342717542187527,74.31686769431509,126.04143886238211,11.852198801396636,17.877246452339183,13.215526851329892,8.707736279368158,39.58061945167344,2.9795432743131656,147.43686360673078,13.8075906159579,20.826658790552685,15.395842374484968,10.144350407206467,46.11068366912031,3.4711123601300935,0.16376189894539775,220.2543099728026,257.19310182418315
stddev,0.24345769074836565,32.465912957446186,2.3556861140751724,43.93167119368959,67.8759452195491,5.839393728473942,8.807840854295414,6.511084222198596,4.290166024970461,19.500754658956637,1.4679745590911613,92.74033174153686,8.03997360109803,12.127082235592718,8.96479115729766,5.906918284495346,26.849628565887933,2.0211818642448174,0.3334041396936558,111.55283745770184,154.1534231956946
min,0.7364074981319281,10.989312187555397,0.6715207191893643,14.015099666739319,14.3575795563073,2.173263614215055,3.2780389435119583,2.4232485574991296,1.596683175437559,7.257650797443449,0.5463402271214817,14.3575795563073,2.7577819823114798,4.159696355565115,3.075002575307501,2.0261251621202776,9.209659827819443,0.6932832375752874,-0.09196525663564147,41.83027717991231,53.08089822482155
max,3.051899526638646,172.25283827016608,11.669758885801958,294.526531772549,352.38195844907875,31.18783429265178,47.04212351709377,34.77529093426938,22.91350665777261,104.15230298987551,7.8403597057546826,605.7579277358537,53.61306791878785,80.86719133813615,59.78004170664291,39.38918544883384,179.04175204015382,13.477875169786692,1.402414177030827,600.2933765464965,1031.927041358195
