summary,optROT,optTT,actualROT,actualTT,optPcost,optFuelCost,optCrewCost,optMaintCost,optAOCost,optEnvCost,optOtherCost,actualPcost,actualFuelCost,actualCrewCost,actualMaintCost,actualAOCost,actualEnvCost,actualOtherCost,savings,totalOptCost,totalActualCost
count,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795,16795
mean,2.725866138872935,115.99342954159984,3.812131827821869,150.85455176646894,213.62787288692527,21.329904081234808,32.17292912940812,23.78342827734486,15.670947029822415,71.23157740828368,5.362158812211212,278.7615356111776,27.78845264133037,41.914671254052784,30.98488712450013,20.416002234446385,92.80001015657444,6.985783697898254,0.35167891871552026,383.17881762523024,499.65134271998
stddev,2.0779797673948295,51.100853972012,2.813234212906524,59.459040051072186,115.8303019140877,9.159741143240211,13.816081944055837,10.213362689753215,6.72960448935561,30.589111315252772,2.3026820234043797,143.1598503127586,10.6582736025246,16.07639115252947,11.884267496963218,7.830566908243136,35.59348594655972,2.679400502837463,0.8029062324742937,178.76074269926508,215.71804616476808
min,0.3348604026502936,20.797532189719927,0.3348604026502936,20.797532189719927,12.803758834473951,4.24842527520416,6.408105951633371,4.737110745536359,3.1212914598361805,14.187688453800819,1.0680184468104756,24.752787572470414,4.4586108993342135,6.725139125500562,4.971473483286501,3.275713522384038,14.889606919927443,1.1208573481171447,-10.094006213890431,65.28806153565142,85.81790471097108
max,36.355218669507984,302.54699520004164,40.29349556925094,417.5316729475575,884.2428725524661,54.85503091665802,82.74050438069116,61.16486452490153,40.30164789022595,183.18930859193614,13.790094240632335,963.6912540147041,75.29719354911161,113.5744100148177,83.95843672996854,55.32037683378574,251.4562583353897,18.929082305595077,10.0767113324998,1221.0018659636064,1449.2960984700703
