summary,optROT,optTT,actualROT,actualTT,optPcost,optFuelCost,optCrewCost,optMaintCost,optAOCost,optEnvCost,optOtherCost,actualPcost,actualFuelCost,actualCrewCost,actualMaintCost,actualAOCost,actualEnvCost,actualOtherCost,savings,totalOptCost,totalActualCost
count,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471,8471
mean,12.025356623731842,94.07769671583927,10.688960222920672,121.02513018585168,254.79324750754714,19.06318545344471,28.753927455023764,21.255974815592296,14.005603040823388,63.66183200374265,4.792324779272404,319.5872743598731,23.664635967245776,35.6945185007773,20.98825011450965,17.386259933957955,79.02845424526342,5.949090807265897,-3.9474789214054664,406.3260950554465,502.29848392889335
stddev,13.207567920139237,59.46536508093657,4.898401196076645,60.92389498602993,181.27839442180368,10.291547771645526,15.523240790396533,11.47535813370755,7.561135735543699,34.3687987979259,2.5872087077771337,208.11267918570107,10.840660707878795,16.351494471903546,11.86380041037722,7.96456557303051,36.20257078650233,2.7252510899045235,46.25592994670008,237.18045693752384,260.9018539581097
min,1.2468792588519015,4.767709965968521,4.860812540248571,4.767709965968521,3.8233434864356877,1.2995469548229936,1.9601697184677587,1.4490305101871477,0.9547690141614176,4.3398591552791705,0.32669519418124615,6.570511437923559,1.9886685991779793,2.999605326848172,2.0054295778935023,1.4610623732249397,6.641192605567907,0.49993459009650665,-239.11529684641687,14.916654736215973,25.634644364959623
max,74.12881351781026,278.4860352306636,65.88062320425847,296.054006171649,1264.3455485176219,50.372034209451684,75.9785829581186,56.16620019676626,37.008018267423076,168.21826485192307,12.663106505145588,1285.1630433371772,55.142020360945395,83.17338448257914,57.02419230483511,40.51249723874703,184.14771472157742,13.862240977525117,177.44333792635825,1635.8348998510658,1662.7689801689216
