LinkID,LinkName,AirportCode,NodeNameFrom,NodeNameTo,Length,LinkTypeID,RunwayAssociation
105,D.n3_E.nD3,PHX,D.n3,E.nD3,264.159,10,null
106,D.n4_E.nD4,PHX,D.n4,E.nD4,267.417,10,null
107,D.n5_E.nD5,PHX,D.n5,E.nD5,263.916,10,null
108,D.n6_E.nD6,PHX,D.n6,E.nD6,314.007,10,null
111,D.n9_Taxiway Intersection (50),PHX,D.n9,Taxiway Intersection (50),269.645,10,null
113,E.n10_E.nD10,PHX,E.n10,E.nD10,461.2839566033,10,null
114,E.n11_Taxiway Intersection (42),PHX,E.n11,Taxiway Intersection (42),230.727484406,10,null
115,E.n12_E.n13,PHX,E.n12,E.n13,313.372,10,null
116,E.n3_E.n4,PHX,E.n3,E.n4,552.599,10,null
117,E.n4_E.nD3,PHX,E.n4,E.nD3,785.506,10,null
118,E.n5_E.nD5,PHX,E.n5,E.nD5,524.661,10,null
119,E.n6_E.nD6,PHX,E.n6,E.nD6,305.719,10,null
121,E.n8_Taxiway Intersection (50),PHX,E.n8,Taxiway Intersection (50),159.8919703457,10,null
122,E.n9_Taxiway Intersection (23),PHX,E.n9,Taxiway Intersection (23),229.3603458514,10,null
124,E.nD12_E.n12,PHX,E.nD12,E.n12,204.1797966954,10,null
125,E.nD3_E.nD4,PHX,E.nD3,E.nD4,334.904,10,null
126,E.nD4_E.n5,PHX,E.nD4,E.n5,477.117,10,null
127,E.nD5_E.n6,PHX,E.nD5,E.n6,761.809,10,null
128,E.nD6_E.n7,PHX,E.nD6,E.n7,349.1018268386,10,null
129,E.nD7_E.nD8,PHX,E.nD7,E.nD8,327.9675659517,10,null
135,07L/25R.3_E.n3,PHX,07L/25R.3,E.n3,392.919,10,null
136,07L/25R.4_E.n4,PHX,07L/25R.4,E.n4,405.431,10,null
137,07L/25R.5_E.n5,PHX,07L/25R.5,E.n5,390.167,10,null
138,07L/25R.6_E.n6,PHX,07L/25R.6,E.n6,388.186,10,null
142,F.n10_F.nG8,PHX,F.n10,F.nG8,457.436,10,null
